rule_id,change_type,rule_content,first_level,second_level,can_detect
E28_85,added,"## Build architecture
- Webviews (Vite):
 - Inputs configured for src/main-sidebar.tsx and src/main-dashboard.tsx
 - Output to packages/extension/out with manifest
- Extension (tsc):
 - Compiles to packages/extension/out
- MCP server (esbuild at repo root):
 - Bundles packages/mcp-server/src/server.ts → packages/extension/out/mcp/mcpStdioServer.cjs",Development Workflow & Project Management,Project Documentation,FALSE
E45_32,added,"- Command Reference: remove-dependency
 - Legacy Syntax: node scripts/dev.js remove-dependency --id=<id> --depends-on=<id>
 - CLI Syntax: task-master remove-dependency --id=<id> --depends-on=<id>
 - Description: Removes a dependency relationship between two tasks
 - Parameters:
 - --id=<id>: ID of task to remove dependency from (required)
 - --depends-on=<id>: ID of task to remove as a dependency (required)
 - Example: task-master remove-dependency --id=22 --depends-on=21
 - Notes: Checks if dependency actually exists; updates task files automatically",Development Workflow & Project Management,Workflow Conventions,FALSE
E29_06,added,## test,Development Workflow & Project Management,Project Documentation,FALSE
E41_16,added,- Testing: Local unit tests are created as functionality is modified,Quality Assurance,Testing Strategy,FALSE
E6_08,added,"When creating a brand new stand alone component (that's not a child/tightly coupled component), use the `nlx hygen component new --name [ComponentNameHere]` from package.json",Development Workflow & Project Management,Workflow Conventions,FALSE
E6_11,added,ShadCN has components like `Textarea` that seem like native components but are not. Remember to account for that.,Code Implementation,Framework Usage,FALSE
E35_39,added,- **调试日志规范** - 调试日志应包含足够的上下文信息，便于问题定位,Quality Assurance,Logging Standards,FALSE
E6_29,added,Use script setup,Code Implementation,Framework Usage,FALSE
E56_144,added,- Long Video Processing: Videos >45 minutes automatically split into overlapping chunks,Code Implementation,Business Logic,FALSE
E41_04,modified,"-│ ├── Cargo.toml # Rust dependencies
+│ ├── package.json # Worker dependencies",Development Workflow & Project Management,Directory Structure,TRUE
E35_24,added,- **项目构建** - `pnpm package` - 构建可分发的应用程序,Development Workflow & Project Management,Workflow Conventions,FALSE
E45_04,added,"- Example Pattern Recognition:
 typescript
 // If you see repeated patterns like:
 const data = await prisma.user.findMany({
 select: { id: true, email: true },
 where: { status: 'ACTIVE' }
 });
 
 // Consider adding a PRISMA section in the .windsurfrules:
 // - Standard select fields
 // - Common where conditions
 // - Performance optimization patterns
",Development Workflow & Project Management,Project Documentation,FALSE
E28_47,added,"- package.json: Extension manifest with VS Code contributions
 - Commands: self-test, open MCP config
 - Views: Activity bar container and side panel
 - Settings: Node path, workspace config, server ID
- tsconfig.json: TypeScript compilation (ES2022, NodeNext modules)
- .vscode-test.mjs: VS Code test runner configuration",Development Workflow & Project Management,Project Documentation,FALSE
E17_05,added,- Write minimal code to make it pass (Green),Quality Assurance,Testing Strategy,FALSE
E41_22,added,Define interfaces in types/ directories,Development Workflow & Project Management,Directory Structure,FALSE
E50_30,added,NEVER USE - Deprecated Decorators,Code Implementation,Framework Usage,FALSE
E35_57,added,- **实时切换** - 主题切换立即生效，无需重启应用,Code Implementation,Business Logic,FALSE
E19_16,modified,"- version: 1.1
- tags: [""git"", ""conventional-commits"", ""workflow""]
+ version: 1.2
+ tags: [""git"", ""conventional-commits"", ""workflow"", ""testing""]",Development Workflow & Project Management,Workflow Conventions,FALSE
E50_36,added,"**Avoid `any`:** Use `unknown` for uncertain types, then narrow with type guards",Code Implementation,Language Features,TRUE
E41_15,modified,"- - Frontend Hosting: Cloudflare Pages
+ - Frontend Hosting: Cloudflare Workers with Static Assets",Architecture & Design,Technology Stack Selections,TRUE
E56_08,added,"### Error Handling Strategy
- Configuration Errors: Graceful validation with user-friendly messages
- API Errors: Specific exception types with retry logic and fallbacks
- Processing Errors: Detailed error context with troubleshooting guidance
- Return Values: Boolean success indicators for main functions",Code Implementation,Error & Exception Handling,FALSE
E56_113,modified,"- - Maintain clear module separation: config/, notion_db/, processors/, utils/
+ - Maintain clear module separation with component-based architecture:
 - interfaces/: Abstract base classes for components
 - extractors/: Video metadata extraction logic
 - writers/: Summary generation implementations
 - storage/: Data persistence backends
 - processors/: Orchestration and workflow coordination
 - config/: Configuration, factory, and example data
 - utils/: Shared utilities and exception classes",Architecture & Design,System Architecture,FALSE
E35_63,added,"#### 特殊元素样式规范
```css
/* 开关按钮 */
bg-gray-200 dark:bg-gray-600                    /* 未选中背景 */
peer-checked:bg-white dark:peer-checked:bg-white /* 选中背景（白底设计） */
peer-checked:after:bg-gray-900                   /* 选中滑块（深色） */

/* 状态指示 */
bg-green-50 dark:bg-green-900/10    /* 成功状态背景（半透明） */
bg-red-50 dark:bg-red-900/10        /* 错误状态背景（半透明） */
border-green-200 dark:border-green-800 /* 成功状态边框 */
border-red-200 dark:border-red-800     /* 错误状态边框 */

/* 进度条和滑块 */
bg-gray-200 dark:bg-gray-600        /* 滑块轨道背景 */
bg-gray-900 dark:bg-gray-100        /* 进度填充 */
```",Architecture & Design,Design References & Constraints,TRUE
E6_31,added,"Do NOT import components defined within the project source code. They are auto-imported based on the file structure. For example:
- <PostList>, <PostCardImage>, <PostCardFooter>, `<UiTextarea>`, `<UiButton>` etc",Code Implementation,Framework Usage,FALSE
E41_46,added,Test error scenarios and edge cases,Quality Assurance,Testing Strategy,FALSE
E56_97,added,- Use mutually exclusive argument groups for different modes,Architecture & Design,Technology Stack Selections,FALSE
E6_64,added,* The dev server is already up and running on localhost:3000,Development Workflow & Project Management,Environment Configuration,FALSE
E2_200,added,"Before making ANY changes, read and reference these files:
• docs/AI_DEVELOPMENT_GUIDE.md - AI-specific development guidelines and critical rules
• docs/DEPENDENCY_MAP.md - Complete dependency relationships and import patterns
• docs/ARCHITECTURE_DIAGRAM.md - Visual system architecture and data flow
• docs/QUICK_REFERENCE.md - Fast reference for common operations
• docs/PROJECT_OVERVIEW.md - High-level project understanding",Development Workflow & Project Management,Project Documentation,FALSE
E33_25,added,Fields described Validated as **something** have validate tag complied with github.com/go-playground/validator library.,Code Implementation,Framework Usage,FALSE
E6_94,added,Always use the `--watch=false` flag when running tests,Code Implementation,Framework Usage,FALSE
E21_04,added,"`src/components`: UI componenten (atoms, molecules, organisms)",Development Workflow & Project Management,Directory Structure,TRUE
E56_160,added,- DOM Testing: Component rendering and interaction validation,Quality Assurance,Testing Strategy,FALSE
E56_136,added,"- CRITICAL: Use types.Part(file_data=...) for YouTube URLs, not text prompts",Code Implementation,Framework Usage,TRUE
E16_62,added,Git Hooks: Quality gates to prevent repository degradation,Code Implementation,Business Logic,FALSE
E45_41,added,"- Code Examples:
 - Use language-specific code blocks
 typescript
 // ✅ DO: Show good examples
 const goodExample = true;
 
 // ❌ DON'T: Show anti-patterns
 const badExample = false;
",Development Workflow & Project Management,Project Documentation,FALSE
E28_17,modified,"- │ ├── mcpProvider.ts # MCP server definition provider
- │ └── mcpStdioServer.ts # MCP stdio server implementation
+ │ ├── mcp.provider.ts # MCP server definition provider
+ │ ├── mcp-stdio.server.ts # MCP stdio server implementation
+ │ └── mcpStdioServer.ts # MCP stdio server entry point",Code Implementation,Code Style Conventions,TRUE
E41_66,added,"- Then, commit all staged changes with this approved commit message",Development Workflow & Project Management,Version Control,FALSE
E20_62,modified,"-POST /api/auth/login - User login (returns JWT)
+POST /api/auth/login - User login (only for verified users)",Code Implementation,Business Logic,FALSE
E2_136,added,Convert remaining JavaScript files to TypeScript,Architecture & Design,Technology Stack Selections,FALSE
E38_08,added,"# Cascade: The Pathfinder's Guide

Within the Celtic Realm of Pathfinder's Journey, Cascade serves as your mystical companion and guide. Like the flowing waters that connect the Sacred Landscapes of this world, Cascade bridges the gap between traveler and journey, offering insights drawn from the ancient wisdom of the land.

## Origins

Born from the mists of the Ancient Stone Circle during the season of Samhain when the veil between worlds is thinnest, Cascade embodies the spirit of guidance. Neither fully of this world nor the Otherworld, Cascade exists to assist Pathfinders as they traverse the Misty Barrow Downs, Sacred Oak Grove, and beyond.

## Technical Integration

Component Structure:
- Implemented as part of src/views/GameBoardView.vue, the main game interface component
- Operates alongside src/components/game/PlayerDashboard.vue and src/components/game/GameLog.vue components
- Accesses game state via Pinia stores: gameStore.ts, playerStore.ts, and cardStore.ts

Store Integration:
- Interfaces with src/stores/gameStore.ts to access game phase, season data, and landscape information
- Utilizes src/stores/cardStore.ts for retrieving landscape data from landscapes.js rather than hardcoded values
- Monitors currentSeason state (starting with Samhain) from gameStore.ts

Phase-Specific Functionality:
- Provides guidance during all game phases within GameBoardView.vue phase sections:
 - SeasonalAssessmentPhase
 - ThreatLevelCheckPhase
 - ChallengeResolutionPhase 
 - JourneyProgressionPhase

Card System Integration:
- Interfaces with the src/components/core/GameCard.vue component (parent component in core directory)
- Uses landscape data from landscapes.js for all 15 sacred landscape locations
- Supports all card types defined in CardType enum

## Data Flow Architecture

Cascade accesses game data through a hierarchical structure:
- Parent component: GameBoardView.vue contains all phase-specific components
- Accesses game state via store getters like currentLandscape, currentSeason, and threatLevel
- Renders information through child components like GameCard.vue and GameLog.vue
- Processes game logic methods like resolveChallenge(), getSeasonModifier(), and formatSeason()

## Technical Capabilities

Landscape Knowledge:
- Retrieves landscape data from src/models/data/landscapes.js through cardStore.getLandscapeById() method
- Provides data on all 15 predefined landscapes and their associated challenges

Seasonal Mechanics:
- Tracks seasonal changes through gameStore.advanceSeason() method
- Utilizes seasonal modifiers from getSeasonalResourceModifier() in gameplay

Challenge System:
- Interfaces with challenge resolution methods in GameBoardView.vue
- Accesses challenge difficulty assessments via getChallengeDifficulty() method

Resource Management:
- Works with ResourceManagement.vue component for resource tracking
- Connects to gatherResources() method in both gameStore and GameBoardView

## GameStore State Management

Cascade interfaces with src/stores/gameStore.ts to track and respond to the game's current state:

Core Game States:
- currentPhase - Tracks active game phase from src/models/enums/phases.ts enum (starts in SEASONAL_ASSESSMENT)
- currentTurn - Monitors turn progression (begins at 1)
- currentSeason - Tracks active season, initialized to Season.SAMHAIN at game start
- currentLandscapeId - References the active landscape using ID from src/models/data/landscapes.js
- currentChallenge - Stores the active challenge data
- threatTokens - Accumulates threat levels affecting gameplay difficulty

World State Tracking:
- visitedLandscapes - Array of previously visited landscape IDs
- journeyProgress - Numeric progress indicator (0-10)
- journeyPath - Sequential array of landscape IDs forming the player's path
- gameLog - Log of game events with timestamps

Victory Condition States:
- victoryConditions - Object tracking progress on 8 victory conditions
- gameStarted - Boolean flag for game initialization
- gameOver - Indicates game completion state
- isVictory - Tracks win/loss status

Temporal Effects System:
- tempEffects - Array of temporary gameplay effects with duration tracking
- ceremonyCompleted - Tracks special ceremony completion status

## Phase Transitions

Cascade works with the phase system defined in src/models/enums/phases.ts:
1. SEASONAL_ASSESSMENT (starting phase) - Evaluates season effects
2. THREAT_LEVEL_CHECK - Processes accumulated threat tokens
3. LANDSCAPE_CHALLENGE - Presents landscape-specific challenges
4. CHALLENGE_RESOLUTION - Resolves challenge outcomes
5. RESOURCE_MANAGEMENT - Handles resource collection/usage
6. ANIMAL_COMPANION - Manages animal companion interactions
7. CRAFTING - Facilitates item crafting
8. JOURNEY_PROGRESSION - Advances to next landscape
9. GAME_OVER - Manages endgame state

## Data Models Architecture

Cascade directly integrates with the game's core data models:

Landscapes (src/models/data/landscapes.js):
- Provides access to all 15 predefined landscapes including Ancient Stone Circle, Misty Barrow Downs, and Sacred Oak Grove
- Each landscape contains structured data for challenges, difficulty ratings, and available resources
- Accessed through src/stores/cardStore.ts getLandscapeById() to maintain data consistency
- Example: ancient_stone_circle includes Spectral Guardians challenge with mental difficulty 5

Seasons (src/models/data/seasons.js):
- Tracks the five Celtic seasons from Samhain (start season) through Winter's Depth, Imbolc, Beltane, and Lughnasadh
- Each season includes resource abundance/scarcity data and animal affinities
- Contains seasonal modifiers that affect gameplay mechanics
- Example: Samhain provides +2 difficulty to spiritual challenges

Companions (src/models/data/companions.js):
- Interfaces with 10 animal companions including Raven Scout, Wolf Guardian, and Deer Guide
- Each companion includes ability functions that modify game state
- Contains seasonal affinities that align with specific seasons
- Example: Wolf Guardian provides +2 to combat-related challenges

Resources (src/models/data/resources.js):
- Manages resource availability based on current landscape and season
- Used for crafting and challenge resolution
- Each resource has specific seasonal abundance patterns

Cascade's implementation maintains strict adherence to these data models, ensuring consistent game behavior while providing insight across all game phases.",Development Workflow & Project Management,Project Documentation,FALSE
E38_32,modified,"-work with the existing design
+work with the existing files",Architecture & Design,Design References & Constraints,FALSE
E19_02,modified,"- pattern: ""build_success""
- - type: file_change
- pattern: """"
+ pattern: ""file_save""
+ - type: event
+ pattern: ""file_create""
+ - type: event
+ pattern: ""file_change""
+ - type: event
+ pattern: ""user_message""",Development Workflow & Project Management,Workflow Conventions,FALSE
E28_50,modified,"- - Separation of Concerns: Extension logic separate from MCP server
+ - Separation of Concerns: Extension, MCP server, and UI as distinct layers
+ - Service Layer: Abstracted configuration and system services
+ - Modern UI: Preact + Vite for fast webview development",Architecture & Design,System Architecture,FALSE
E55_07,added,8. 编码时，请同时考虑优化代码结构设计，如果有可以抽离共用的逻辑，尽量抽离出来，避免重复代码。,Architecture & Design,Design Principles & Patterns,FALSE
E38_06,added,do not execute git commands,Development Workflow & Project Management,Version Control,FALSE
E24_02,added,Always use git fetch instead of git pull.,Development Workflow & Project Management,Version Control,FALSE
E27_02,added,"- Run npm run lint, npm run build and fix all issues before completing any task",Development Workflow & Project Management,Workflow Conventions,FALSE
E55_02,added,1. 在编写文件之前，使用 `list dir` 检查文件是否存在。,Development Workflow & Project Management,Workflow Conventions,FALSE
E37_03,added,"- any changes to the database need to be made WITHOUT added alembic migrations, update the database/init_db.sql file and the pydantic modes and the sqlalchemy orm all at once.  We are still developing the application and we do not need to worry about migrations until an official release.  you will now when I tell you.",Development Workflow & Project Management,Workflow Conventions,FALSE
E54_03,added,"## コミットメッセージ形式

コミットメッセージは以下の形式に従ってください：

```
<type>(<scope>): <subject>

<body>

<footer>
```",Development Workflow & Project Management,Version Control,TRUE
E35_47,added,- [ ] 项目能够正常启动（`pnpm start`）,Development Workflow & Project Management,Workflow Conventions,FALSE
E39_04,modified,"Retain docstrings for modules, classes and selected library-like public functions, but keep them concise
Retain docstrings ONLY for modules, classes and selected library-like public functions, but keep them concise",Code Implementation,Code Style Conventions,FALSE
E7_09,added,Always examine existing code before making changes.,Development Workflow & Project Management,Workflow Conventions,FALSE
E1_44,modified,"-1. Create a full starter folder structure (directories only, without files)
+1. Create a full starter folder structure (directories only, without files) in the `/projects` directory",Development Workflow & Project Management,Directory Structure,FALSE
E28_87,added,"## Runtime and discovery
- MCP provider (packages/extension/src/mcp/mcp.provider.ts):
 - Registers provider via vscode.lm when available
 - Fallback writes .kiro/settings/mcp.json in workspace
 - Resolves Node path via env + heuristics; resolves server script from bundled out/mcp
- HTTP bridge (packages/extension/src/services/http-bridge.service.ts):
 - POST /events with { type, payload? } to inject events into the extension bus
 - Defaults to 127.0.0.1:39237; safe error handling and limits",Development Workflow & Project Management,Project Documentation,FALSE
E6_100,added,Run a single API test with `nr test [path-to-test-file]` for example: `nr test server/api/users.get.test.ts`,Development Workflow & Project Management,Workflow Conventions,FALSE
E19_28,modified,"- ✅ Commit changes:
+ ✅ Run tests and commit changes:
+ make test",Quality Assurance,Testing Strategy,FALSE
E1_09,added,6. Delete the `.md` version of the file,Development Workflow & Project Management,Workflow Conventions,FALSE
E14_02,modified,"- **jest**: For unit testing
+ **Vitest**: For unit testing (Vite's native test runner)",Code Implementation,Framework Usage,TRUE
E47_11,added,REUSE existing code as much as possible,Architecture & Design,Design Principles & Patterns,FALSE
E20_22,added,"Security Configuration:
- JWT Implementation: Generate, Validate, Refresh, Secure Storage
- Spring Security: BCrypt (strength 12), Custom Auth Provider, JWT Filter, CORS, Custom Exceptions
- Frontend Security: Axios Interceptors, Protected Routes, Token Management (Refresh/Logout)",Quality Assurance,Security Practices,FALSE
E20_27,added,"Validation Rules (Java Annotations):
- Username: @NotBlank, @Size(3-50), @Pattern(alphanumeric)
- Email: @NotBlank, @Email, @Size(max 100)
- Password: @NotBlank, @Size(8-100), @Pattern(complex chars)",Code Implementation,Business Logic,TRUE
E2_201,added,"After making changes, update relevant reference files:
• New services → Update docs/DEPENDENCY_MAP.md service dependencies section
• New types → Update docs/DEPENDENCY_MAP.md core dependencies section
• New imports → Update docs/DEPENDENCY_MAP.md import patterns section
• Architecture changes → Update docs/ARCHITECTURE_DIAGRAM.md relevant sections
• New patterns → Update docs/QUICK_REFERENCE.md common patterns section
• Breaking changes → Update docs/AI_DEVELOPMENT_GUIDE.md critical rules section",Development Workflow & Project Management,Project Documentation,FALSE
E16_11,added,Maintenance Check: .\scripts\maintenance\daily-routine.ps1 -Quick,Development Workflow & Project Management,Workflow Conventions,FALSE
E4_23,added,- **LiveKit**: Real-time video/audio for human consultations,Architecture & Design,Technology Stack Selections,TRUE
E56_87,added,- STRUCTURE: Follow existing test patterns in tests/ directory,Quality Assurance,Testing Strategy,FALSE
